userId,originalTimestamp,anonymousId,messageId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,button_name,business_id,location,sponsored_listing,search_text,category,name,path,referrer,search,title,url,category_properties,name_properties,traits,event_type
,2025-08-08 00:11:54.203000+00:00,71589b31-ceec-4ca8-a99f-095bb50f4b0d,ajs-next-1754611914203-5ca8699f-095b-450f-8b0d-68ef8fdaa05c,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not)A;Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '138'}, {'brand': 'Google Chrome', 'version': '138'}]",False,Windows,search,,,,,,,,,,,,,,,button_click
,2025-08-08 00:11:56.799000+00:00,71589b31-ceec-4ca8-a99f-095bb50f4b0d,ajs-next-1754611916799-4db124a7-62b4-486d-bb3f-9ea611ec7e61,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=langley&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=langley&category=,"[{'brand': 'Not)A;Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '138'}, {'brand': 'Google Chrome', 'version': '138'}]",False,Windows,,,sidebar,true,,,,,,,,,,,,impression
,2025-08-08 00:11:54.541000+00:00,71589b31-ceec-4ca8-a99f-095bb50f4b0d,ajs-next-1754611914541-699f095b-b50f-4b0d-a8ef-8fdaa05cdd14,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not)A;Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '138'}, {'brand': 'Google Chrome', 'version': '138'}]",False,Windows,,,,,langley,,,,,,,,,,,search
,2025-08-08 00:11:50.587000+00:00,71589b31-ceec-4ca8-a99f-095bb50f4b0d,ajs-next-1754611910587-ceec5ca8-699f-495b-b50f-4b0d68ef8fda,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not)A;Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '138'}, {'brand': 'Google Chrome', 'version': '138'}]",False,Windows,,"1743549178851x847080663521240200, 1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753374338412x209529915103450200",,true,,,,,,,,,,,,impression
,2025-08-08 00:11:57.508000+00:00,71589b31-ceec-4ca8-a99f-095bb50f4b0d,ajs-next-1754611917508-62b4c86d-fb3f-4ea6-91ec-7e6149c483f1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=langley&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=langley&category=,"[{'brand': 'Not)A;Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '138'}, {'brand': 'Google Chrome', 'version': '138'}]",False,Windows,,,,false,,,,,,,,,,,,impression
,2025-08-08 00:11:56.474000+00:00,71589b31-ceec-4ca8-a99f-095bb50f4b0d,ajs-next-1754611916474-01084db1-24a7-42b4-886d-fb3f9ea611ec,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=langley&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=langley&category=,"[{'brand': 'Not)A;Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '138'}, {'brand': 'Google Chrome', 'version': '138'}]",False,Windows,,,,,,search,search,/search,https://coloradocatholicbusinessdirectory.com/,?query=langley&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=langley&category=,search,search,,page
,2025-08-08 00:11:49.969000+00:00,71589b31-ceec-4ca8-a99f-095bb50f4b0d,ajs-next-1754611909969-ed71589b-31ce-4c5c-a869-9f095bb50f4b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not)A;Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '138'}, {'brand': 'Google Chrome', 'version': '138'}]",False,Windows,,,,,,index,index,/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,page
,2025-08-08 00:11:57.195000+00:00,71589b31-ceec-4ca8-a99f-095bb50f4b0d,ajs-next-1754611917195-24a762b4-c86d-4b3f-9ea6-11ec7e6149c4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=langley&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=langley&category=,"[{'brand': 'Not)A;Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '138'}, {'brand': 'Google Chrome', 'version': '138'}]",False,Windows,,1750436264420x989591292213482400,main_list,true,,,,,,,,,,,,impression
,2025-08-08 00:11:50.496000+00:00,71589b31-ceec-4ca8-a99f-095bb50f4b0d,ajs-next-1754611910496-9b31ceec-5ca8-499f-895b-b50f4b0d68ef,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not)A;Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '138'}, {'brand': 'Google Chrome', 'version': '138'}]",False,Windows,,"1743549178851x847080663521240200, 1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753374338412x209529915103450200",,true,,,,,,,,,,,,impression
,2025-08-08 02:02:52.604000+00:00,164032ae-7646-4a31-812e-199b8d537eeb,ajs-next-1754618572604-d86eeede-e147-4e44-a919-31acbcf2e5ef,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,index,index,/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,page
