originalTimestamp,messageId,anonymousId,userId,name,category,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,business_id,location,sponsored_listing,path,referrer,search,title,url,category_properties,name_properties,button_name,city,search_text,parish,traits,address,other_category,description,display_email,business_name,main_category,phone,sub_category,website,email,input_value,input_num,input_name,event_type
2025-10-16 23:12:09.026000+00:00,ajs-next-1760656329026-11a5ddad-8ced-4fa0-8228-2403cf07bf46,7bdbb02b-ccf2-4d5d-9126-8f8f14b04ed5,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,"[{'brand': 'Google Chrome', 'version': '141'}, {'brand': 'Not?A_Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '141'}]",False,Windows,1753374338412x209529915103450200,main_list,true,,,,,,,,,,,,,,,,,,,,,,,,,,impression
2025-10-16 23:14:41.330000+00:00,ajs-next-1760656481330-95fcd99c-10d0-4548-971f-642f1370bafe,7bdbb02b-ccf2-4d5d-9126-8f8f14b04ed5,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,"[{'brand': 'Google Chrome', 'version': '141'}, {'brand': 'Not?A_Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '141'}]",False,Windows,,sidebar,true,,,,,,,,,,,,,,,,,,,,,,,,,,impression
2025-10-16 23:18:15.666000+00:00,ajs-next-1760656695666-a5fe907a-4ef9-4138-ab75-16605db739f0,7bdbb02b-ccf2-4d5d-9126-8f8f14b04ed5,,index,index,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Google Chrome', 'version': '141'}, {'brand': 'Not?A_Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '141'}]",False,Windows,,,,/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,,,,,,,,,,,,page
2025-10-16 23:12:28.954000+00:00,ajs-next-1760656348954-3b926f3c-9b5e-4469-8419-22aedd9a13dc,7bdbb02b-ccf2-4d5d-9126-8f8f14b04ed5,,search,search,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,"[{'brand': 'Google Chrome', 'version': '141'}, {'brand': 'Not?A_Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '141'}]",False,Windows,,,,/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,search,search,,,,,,,,,,,,,,,,,,,page
2025-10-16 23:12:00.078000+00:00,ajs-next-1760656320078-7fa39c2c-3d00-4db9-a46c-c74b0b2659a0,7bdbb02b-ccf2-4d5d-9126-8f8f14b04ed5,,about_us,about_us,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",/about_us/1760656272025x533683293027385600,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1760656272025x533683293027385600,"[{'brand': 'Google Chrome', 'version': '141'}, {'brand': 'Not?A_Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '141'}]",False,Windows,,,,/about_us/1760656272025x533683293027385600,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1760656272025x533683293027385600,about_us,about_us,,,,,,,,,,,,,,,,,,,page
2025-10-16 23:17:17.262000+00:00,ajs-next-1760656637262-ccd424f4-a7ee-40da-9307-e4c7595dfa8e,7bdbb02b-ccf2-4d5d-9126-8f8f14b04ed5,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,"[{'brand': 'Google Chrome', 'version': '141'}, {'brand': 'Not?A_Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '141'}]",False,Windows,,sidebar,true,,,,,,,,,,,,,,,,,,,,,,,,,,impression
2025-10-16 23:12:08.324000+00:00,ajs-next-1760656328324-ea532d42-11a5-4dad-8ced-9fa0c2282403,7bdbb02b-ccf2-4d5d-9126-8f8f14b04ed5,,search,search,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,"[{'brand': 'Google Chrome', 'version': '141'}, {'brand': 'Not?A_Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '141'}]",False,Windows,,,,/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,search,search,,,,,,,,,,,,,,,,,,,page
2025-10-16 23:14:40.990000+00:00,ajs-next-1760656480990-747e95fc-d99c-40d0-9548-d71f642f1370,7bdbb02b-ccf2-4d5d-9126-8f8f14b04ed5,,search,search,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,"[{'brand': 'Google Chrome', 'version': '141'}, {'brand': 'Not?A_Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '141'}]",False,Windows,,,,/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,search,search,,,,,,,,,,,,,,,,,,,page
2025-10-16 23:12:29.670000+00:00,ajs-next-1760656349670-9b5e1469-0419-42ae-9d9a-13dc1affe78c,7bdbb02b-ccf2-4d5d-9126-8f8f14b04ed5,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,"[{'brand': 'Google Chrome', 'version': '141'}, {'brand': 'Not?A_Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '141'}]",False,Windows,1744579851707x640487742075829500,main_list,true,,,,,,,,,,,,,,,,,,,,,,,,,,impression
2025-10-16 23:11:38.407000+00:00,ajs-next-1760656298407-0cd85b01-d5e1-483f-ad8c-778ec91e35f0,7bdbb02b-ccf2-4d5d-9126-8f8f14b04ed5,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",/business_profile/house-of-carmel-religious-gifts--books-1748365021326x105262688542451250,https://www.google.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/house-of-carmel-religious-gifts--books-1748365021326x105262688542451250,"[{'brand': 'Google Chrome', 'version': '141'}, {'brand': 'Not?A_Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '141'}]",False,Windows,1748365021326x105262688542451250,,,,,,,,,,visit_website,,,,,,,,,,,,,,,,,,button_click
