originalTimestamp,anonymousId,messageId,userId,userAgent,page.path,page.referrer,page.search,page.title,page.url,business_id,sponsored_listing,category,name,path,referrer,search,title,url,category_properties,name_properties,userAgentData.brands,userAgentData.mobile,userAgentData.platform,button_name,location,input_num,input_name,input_value,traits,address,other_category,city,description,display_email,business_name,main_category,parish,phone,sub_category,website,email,search_text,event_type
2025-09-29 02:34:26.847000+00:00,62f3eca6-28ab-4a3a-9bd0-36ba4c693820,ajs-next-1759113266847-eca628ab-ea3a-4bd0-b6ba-4c693820bbfc,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"1744579851707x640487742075829500, 1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1752717497153x537286585580736960, 1753982403438x535213824960417500, 1743549178851x847080663521240200",true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,impression
2025-09-29 02:34:27.151000+00:00,62f3eca6-28ab-4a3a-9bd0-36ba4c693820,ajs-next-1759113267151-28abea3a-5bd0-46ba-8c69-3820bbfcb215,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"1744579851707x640487742075829500, 1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1752717497153x537286585580736960, 1753982403438x535213824960417500, 1743549178851x847080663521240200",true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,impression
2025-09-29 02:34:26.843000+00:00,62f3eca6-28ab-4a3a-9bd0-36ba4c693820,ajs-next-1759113266843-5262f3ec-a628-4bea-ba5b-d036ba4c6938,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,index,index,/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,,,,,,,,,,,,,,,,page
2025-09-29 04:34:31.051000+00:00,8b7bf56f-53f8-4194-8808-261a4b46895d,ajs-next-1759120471051-3a1da7ae-2757-4b34-b4ce-e8817b95a646,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1752717497153x537286585580736960, 1753982403438x535213824960417500, 1743549178851x847080663521240200, 1744579851707x640487742075829500",true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,impression
2025-09-29 04:34:31.054000+00:00,8b7bf56f-53f8-4194-8808-261a4b46895d,ajs-next-1759120471054-a7ae2757-8b34-44ce-a881-7b95a6466f73,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1752717497153x537286585580736960, 1753982403438x535213824960417500, 1743549178851x847080663521240200, 1744579851707x640487742075829500",true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,impression
2025-09-29 04:34:30.674000+00:00,8b7bf56f-53f8-4194-8808-261a4b46895d,ajs-next-1759120470674-fa273a1d-a7ae-4757-8b34-b4cee8817b95,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,index,index,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,,,,,,,,,,,,,,,,page
2025-09-29 08:56:10.678000+00:00,62f3eca6-28ab-4a3a-9bd0-36ba4c693820,ajs-next-1759136170678-a2ba59d3-c29f-414d-b807-c47b18a4878e,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"1744579851707x640487742075829500, 1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1752717497153x537286585580736960, 1753982403438x535213824960417500, 1743549178851x847080663521240200",true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,impression
2025-09-29 08:56:10.202000+00:00,62f3eca6-28ab-4a3a-9bd0-36ba4c693820,ajs-next-1759136170202-5163a2ba-59d3-429f-b14d-f807c47b18a4,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,index,index,/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,,,,,,,,,,,,,,,,page
2025-09-29 13:49:30.374000+00:00,74c8170c-83b0-4dab-8df7-c99e6feee8a2,ajs-next-1759153770374-83b0fdab-8df7-499e-afee-e8a22f8bc86e,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,,"[{'brand': 'Chromium', 'version': '140'}, {'brand': 'Not=A?Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '140'}]",False,Windows,list_your_business,navbar,,,,,,,,,,,,,,,,,,button_click
2025-09-29 13:49:47.569000+00:00,bb3f3560-5f3e-4392-b383-46a5a7b0b40a,ajs-next-1759153787569-66bb3f35-605f-4eb3-92f3-8346a5a7b0b4,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",/start,https://www.google.com/,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,,,start,start,/start,https://www.google.com/,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,start,start,"[{'brand': 'Chromium', 'version': '140'}, {'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '140'}]",False,Windows,,,,,,,,,,,,,,,,,,,,page
2025-09-29 13:54:57.343000+00:00,74c8170c-83b0-4dab-8df7-c99e6feee8a2,ajs-next-1759154097343-58ab78ae-5bb4-4874-8c7d-c274a79343a8,1759153763139x433792388290277000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,1759153763139x433792388290277000,,,,,,,,,,,"[{'brand': 'Chromium', 'version': '140'}, {'brand': 'Not=A?Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '140'}]",False,Windows,,,10,email_checkbox,,,,,,,,,,,,,,,,input_changed
2025-09-29 14:13:01.273000+00:00,74c8170c-83b0-4dab-8df7-c99e6feee8a2,ajs-next-1759155181273-bc21726e-3ed1-4bbb-831f-5f911c47c6ae,1759153763139x433792388290277000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"1744579851707x640487742075829500, 1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1752717497153x537286585580736960, 1753982403438x535213824960417500, 1743549178851x847080663521240200",true,,,,,,,,,,"[{'brand': 'Chromium', 'version': '140'}, {'brand': 'Not=A?Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '140'}]",False,Windows,,,,,,,,,,,,,,,,,,,,impression
2025-09-29 13:49:54.842000+00:00,74c8170c-83b0-4dab-8df7-c99e6feee8a2,ajs-next-1759153794842-17787bfe-3f9e-4d00-afa6-9a8017e4c49b,1759153763139x433792388290277000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,1759153763139x433792388290277000,,dashboard,dashboard,/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,dashboard,dashboard,"[{'brand': 'Chromium', 'version': '140'}, {'brand': 'Not=A?Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '140'}]",False,Windows,,,,,,,,,,,,,,,,,,,,page
2025-09-29 13:49:30.361000+00:00,74c8170c-83b0-4dab-8df7-c99e6feee8a2,ajs-next-1759153770361-d474c817-0c83-40fd-ab8d-f7c99e6feee8,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,index,index,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,"[{'brand': 'Chromium', 'version': '140'}, {'brand': 'Not=A?Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '140'}]",False,Windows,,,,,,,,,,,,,,,,,,,,page
2025-09-29 13:54:10.992000+00:00,74c8170c-83b0-4dab-8df7-c99e6feee8a2,ajs-next-1759154050992-c49bfe72-1ccd-48ab-b8ae-5bb4e8748c7d,1759153763139x433792388290277000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,1759153763139x433792388290277000,,,,,,,,,,,"[{'brand': 'Chromium', 'version': '140'}, {'brand': 'Not=A?Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '140'}]",False,Windows,,,6,website,https://www.moldremovalexpress.com/,,,,,,,,,,,,,,,input_changed
2025-09-29 13:49:32.676000+00:00,74c8170c-83b0-4dab-8df7-c99e6feee8a2,ajs-next-1759153772676-8dfa036a-7db2-4970-bdc7-29543a0c19b8,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",/start,https://coloradocatholicbusinessdirectory.com/,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,,,start,start,/start,https://coloradocatholicbusinessdirectory.com/,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,start,start,"[{'brand': 'Chromium', 'version': '140'}, {'brand': 'Not=A?Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '140'}]",False,Windows,,,,,,,,,,,,,,,,,,,,page
