category,name,messageId,userId,originalTimestamp,anonymousId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,category_properties,name_properties,business_id,traits,button_name,sponsored_listing,location,city,search_text,parish,address,other_category,description,display_email,business_name,main_category,phone,sub_category,website,email,input_num,input_name,input_value,event_type
how_it_works,how_it_works,ajs-next-1789606064958-350bf6a8-01a1-40c4-833a-d1576ba570e9,,2026-09-17 00:47:44.958000+00:00,0bf6a801-a170-44c3-bad1-576ba570e9fb,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 (compatible; meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler))",/how_it_works/molly-clark-lmt-1776102250538x198432379819539760,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/molly-clark-lmt-1776102250538x198432379819539760,[],False,,/how_it_works/molly-clark-lmt-1776102250538x198432379819539760,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/molly-clark-lmt-1776102250538x198432379819539760,how_it_works,how_it_works,,,,,,,,,,,,,,,,,,,,,,page
how_it_works,how_it_works,ajs-next-1789605906433-be81c76f-f0fc-4730-a330-e1214d9b40bf,,2026-09-17 00:45:06.433000+00:00,81c76ff0-fc57-40e3-b0e1-214d9b40bf87,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 (compatible; meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler))",/how_it_works/1789257011791x923822605702624600,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1789257011791x923822605702624600,[],False,,/how_it_works/1789257011791x923822605702624600,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1789257011791x923822605702624600,how_it_works,how_it_works,,,,,,,,,,,,,,,,,,,,,,page
about_us,about_us,ajs-next-1789607442863-0129ac01-d80b-4607-9437-887fea457609,,2026-09-17 01:10:42.863000+00:00,29ac01d8-0bb6-4794-b788-7fea457609a9,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 (compatible; meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler))",/about_us/1789240805087x914623142196207600,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1789240805087x914623142196207600,[],False,,/about_us/1789240805087x914623142196207600,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1789240805087x914623142196207600,about_us,about_us,,,,,,,,,,,,,,,,,,,,,,page
about_us,about_us,ajs-next-1789606755170-cb4f089e-f245-4e27-90fc-286f568bb458,,2026-09-17 00:59:15.170000+00:00,4f089ef2-459e-4790-bc28-6f568bb45859,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 (compatible; meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler))",/about_us/1789187044492x138671011983773300,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1789187044492x138671011983773300,[],False,,/about_us/1789187044492x138671011983773300,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1789187044492x138671011983773300,about_us,about_us,,,,,,,,,,,,,,,,,,,,,,page
about_us,about_us,ajs-next-1789609799352-44526d08-b14a-44c7-8865-9908b06f27a6,,2026-09-17 01:49:59.352000+00:00,526d08b1-4a84-4748-a599-08b06f27a645,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 (compatible; meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler))",/about_us/1789241839868x328709525569784960,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1789241839868x328709525569784960,[],False,,/about_us/1789241839868x328709525569784960,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1789241839868x328709525569784960,about_us,about_us,,,,,,,,,,,,,,,,,,,,,,page
how_it_works,how_it_works,ajs-next-1789609709483-1448c060-6e25-4715-8b6a-ce8d49ccd09f,,2026-09-17 01:48:29.483000+00:00,48c0606e-2567-458b-aace-8d49ccd09fc6,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 (compatible; meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler))",/how_it_works/1789124768153x991439582624568800,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1789124768153x991439582624568800,[],False,,/how_it_works/1789124768153x991439582624568800,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1789124768153x991439582624568800,how_it_works,how_it_works,,,,,,,,,,,,,,,,,,,,,,page
about_us,about_us,ajs-next-1789610016974-3fdc412f-fa87-4b45-93e3-7699238b1419,,2026-09-17 01:53:36.974000+00:00,dc412ffa-87eb-45d3-a376-99238b141900,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 (compatible; meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler))",/about_us/1789219438084x952326250771157400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1789219438084x952326250771157400,[],False,,/about_us/1789219438084x952326250771157400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1789219438084x952326250771157400,about_us,about_us,,,,,,,,,,,,,,,,,,,,,,page
how_it_works,how_it_works,ajs-next-1789609878390-e9b4501c-07cf-4783-bdc5-2998ca865cab,,2026-09-17 01:51:18.390000+00:00,b4501c07-cff7-43fd-8529-98ca865cabf9,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0 (compatible; meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler))",/how_it_works/1789202493363x178468513591911740,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1789202493363x178468513591911740,[],False,,/how_it_works/1789202493363x178468513591911740,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1789202493363x178468513591911740,how_it_works,how_it_works,,,,,,,,,,,,,,,,,,,,,,page
about_us,about_us,ajs-next-1789611558229-44ec2327-21e1-480b-a4a7-bac2b1cfef41,,2026-09-17 02:19:18.229000+00:00,ec232721-e138-4b64-a7ba-c2b1cfef4139,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 (compatible; meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler))",/about_us/1789047100657x207729529361040600,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1789047100657x207729529361040600,[],False,,/about_us/1789047100657x207729529361040600,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1789047100657x207729529361040600,about_us,about_us,,,,,,,,,,,,,,,,,,,,,,page
about_us,about_us,ajs-next-1789611587023-c4eba827-ebd7-4d68-ac59-7a0a39322492,,2026-09-17 02:19:47.023000+00:00,eba827eb-d72d-48ac-997a-0a3932249214,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0 (compatible; meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler))",/about_us/federico-montoya---loan-officer-1765991015203x350068785849064760,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/federico-montoya---loan-officer-1765991015203x350068785849064760,[],False,,/about_us/federico-montoya---loan-officer-1765991015203x350068785849064760,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/federico-montoya---loan-officer-1765991015203x350068785849064760,about_us,about_us,,,,,,,,,,,,,,,,,,,,,,page
