anonymousId,userId,messageId,originalTimestamp,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,business_id,sponsored_listing,search_text,category,button_name,name,path,referrer,search,title,url,category_properties,name_properties,location,event_type
5cc5e552-8430-457a-99fa-3b7cbc1b7c3b,,ajs-next-1784307241533-e4231f44-2db4-4469-9f93-1e8313ac9f60,2026-07-17 16:54:01.533000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Microsoft Edge', 'version': '150'}]",False,Windows,"1753374338412x209529915103450200, 1752717497153x537286585580736960, 1771436045389x658317953644361100, 1770943484557x164806709481949200, 1744335958024x226211831616957250, 1753982403438x535213824960417500, 1744579851707x640487742075829500, 1750436264420x989591292213482400, 1781830336957x808577548450478500, 1744643921578x315333816253624100",true,,,,,,,,,,,,,impression
5cc5e552-8430-457a-99fa-3b7cbc1b7c3b,,ajs-next-1784307264140-bb1c3855-9abf-40e7-8875-a388b662c1b8,2026-07-17 16:54:24.140000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Microsoft Edge', 'version': '150'}]",False,Windows,,,,Finance,,,,,,,,,,,search
5cc5e552-8430-457a-99fa-3b7cbc1b7c3b,,ajs-next-1784307247869-2db46469-1f93-4e83-93ac-9f601ffd2ee1,2026-07-17 16:54:07.869000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Microsoft Edge', 'version': '150'}]",False,Windows,,,,,search,,,,,,,,,,button_click
5cc5e552-8430-457a-99fa-3b7cbc1b7c3b,,ajs-next-1784307241358-02c6e423-1f44-4db4-a469-1f931e8313ac,2026-07-17 16:54:01.358000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Microsoft Edge', 'version': '150'}]",False,Windows,,,,index,,index,/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,page
5cc5e552-8430-457a-99fa-3b7cbc1b7c3b,,ajs-next-1784307307051-d10dd8f8-b02e-48cc-ab6d-9017c3284873,2026-07-17 16:55:07.051000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0",/business_profile/tekwise-financial-planners-1744391553368x301043576290850300,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/tekwise-financial-planners-1744391553368x301043576290850300,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Microsoft Edge', 'version': '150'}]",False,Windows,1744391553368x301043576290850300,,,,visit_website,,,,,,,,,,button_click
03d4091b-adbd-43ca-b044-65baf9665948,,ajs-next-1784309314670-d6346473-7ae3-4d62-87e3-9439777813f3,2026-07-17 17:28:34.670000+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Safari/605.1.15",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,"1752717497153x537286585580736960, 1771436045389x658317953644361100, 1753982403438x535213824960417500, 1750436264420x989591292213482400, 1744643921578x315333816253624100, 1770943484557x164806709481949200, 1744335958024x226211831616957250, 1744579851707x640487742075829500, 1781830336957x808577548450478500, 1753374338412x209529915103450200",true,,,,,,,,,,,,,impression
5cc5e552-8430-457a-99fa-3b7cbc1b7c3b,,ajs-next-1784307251189-3c676a4f-4e9a-4dda-b661-44541a1de508,2026-07-17 16:54:11.189000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0",/search,https://coloradocatholicbusinessdirectory.com/,?query=seth&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=seth&category=,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Microsoft Edge', 'version': '150'}]",False,Windows,,false,,,,,,,,,,,,,impression
5cc5e552-8430-457a-99fa-3b7cbc1b7c3b,,ajs-next-1784307248173-64691f93-1e83-43ac-9f60-1ffd2ee12495,2026-07-17 16:54:08.173000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Microsoft Edge', 'version': '150'}]",False,Windows,,,seth,,,,,,,,,,,,search
5cc5e552-8430-457a-99fa-3b7cbc1b7c3b,,ajs-next-1784307256490-c8f62eab-ae8b-4b1c-b855-9abf70e78875,2026-07-17 16:54:16.490000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Microsoft Edge', 'version': '150'}]",False,Windows,,,,index,,index,/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,page
5cc5e552-8430-457a-99fa-3b7cbc1b7c3b,,ajs-next-1784307302575-682bd10d-d8f8-402e-88cc-eb6d9017c328,2026-07-17 16:55:02.575000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0",/business_profile/tekwise-financial-planners-1744391553368x301043576290850300,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/tekwise-financial-planners-1744391553368x301043576290850300,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Microsoft Edge', 'version': '150'}]",False,Windows,1744391553368x301043576290850300,,,profile,,business_profile,/business_profile/tekwise-financial-planners-1744391553368x301043576290850300,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/tekwise-financial-planners-1744391553368x301043576290850300,profile,business_profile,,page
