anonymousId,name,userId,category,originalTimestamp,messageId,userAgent,page.path,page.referrer,page.search,page.title,page.url,path,referrer,search,title,url,category_properties,name_properties,business_id,sponsored_listing,button_name,location,search_text,userAgentData.brands,userAgentData.mobile,userAgentData.platform,city,parish,input_value,input_num,input_name,traits,email,address,other_category,description,display_email,business_name,main_category,phone,sub_category,website,event_type
31556ca1-88da-4cf5-be78-3c9fa7b426d1,index,,index,2026-04-13 03:19:24.108000+00:00,ajs-next-1776050364108-3031556c-a188-4acc-b5fe-783c9fa7b426,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_4_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/147.0.7727.47 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,,,,,,,,,,,,,,,,,,page
31556ca1-88da-4cf5-be78-3c9fa7b426d1,,,,2026-04-13 03:19:24.466000+00:00,ajs-next-1776050364466-88daccf5-fe78-4c9f-a7b4-26d1bc775d4b,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_4_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/147.0.7727.47 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"1744335958024x226211831616957250, 1771436045389x658317953644361100, 1750436264420x989591292213482400, 1753982403438x535213824960417500, 1744579851707x640487742075829500, 1753374338412x209529915103450200, 1752717497153x537286585580736960, 1770943484557x164806709481949200",true,,,,,,,,,,,,,,,,,,,,,,,impression
31556ca1-88da-4cf5-be78-3c9fa7b426d1,,,,2026-04-13 03:19:59.686000+00:00,ajs-next-1776050399686-8c32ebf7-4e72-4bc2-814f-f2062ddf2614,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_4_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/147.0.7727.47 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,,,,,1754505203290x671062062407191900,false,more_info_text,,,,,,,,,,,,,,,,,,,,,,button_click
31556ca1-88da-4cf5-be78-3c9fa7b426d1,,,,2026-04-13 03:19:30.720000+00:00,ajs-next-1776050370720-ccf5fe78-3c9f-47b4-a6d1-bc775d4b001c,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_4_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/147.0.7727.47 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,search,,,,,,,,,,,,,,,,,,,,,,button_click
31556ca1-88da-4cf5-be78-3c9fa7b426d1,,,,2026-04-13 03:19:24.465000+00:00,ajs-next-1776050364465-6ca188da-ccf5-4e78-bc9f-a7b426d1bc77,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_4_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/147.0.7727.47 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"1744335958024x226211831616957250, 1771436045389x658317953644361100, 1750436264420x989591292213482400, 1753982403438x535213824960417500, 1744579851707x640487742075829500, 1753374338412x209529915103450200, 1752717497153x537286585580736960, 1770943484557x164806709481949200",true,,,,,,,,,,,,,,,,,,,,,,,impression
31556ca1-88da-4cf5-be78-3c9fa7b426d1,,,,2026-04-13 03:19:32.620000+00:00,ajs-next-1776050372620-b4388708-8c32-4bf7-8e72-7bc2814ff206,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_4_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/147.0.7727.47 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,,,,,1770943484557x164806709481949200,true,,main_list,,,,,,,,,,,,,,,,,,,,,impression
31556ca1-88da-4cf5-be78-3c9fa7b426d1,business_profile,,profile,2026-04-13 03:20:00.490000+00:00,ajs-next-1776050400490-53025818-b82c-4d3c-a9b9-1c1fdeed0669,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_4_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/147.0.7727.47 Mobile/15E148 Safari/604.1",/business_profile/dryer-vent-wizard-of-castle-rock-1754505203290x671062062407191900,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/dryer-vent-wizard-of-castle-rock-1754505203290x671062062407191900,/business_profile/dryer-vent-wizard-of-castle-rock-1754505203290x671062062407191900,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/dryer-vent-wizard-of-castle-rock-1754505203290x671062062407191900,profile,business_profile,1754505203290x671062062407191900,,,,,,,,,,,,,,,,,,,,,,,,page
31556ca1-88da-4cf5-be78-3c9fa7b426d1,,,,2026-04-13 03:19:32.286000+00:00,ajs-next-1776050372286-3a6fb438-8708-4c32-abf7-4e727bc2814f,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_4_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/147.0.7727.47 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,,,,,,true,,sidebar,,,,,,,,,,,,,,,,,,,,,impression
31556ca1-88da-4cf5-be78-3c9fa7b426d1,,,,2026-04-13 03:21:18.557000+00:00,ajs-next-1776050478557-5818b82c-ed3c-49b9-9c1f-deed06698188,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_4_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/147.0.7727.47 Mobile/15E148 Safari/604.1",/business_profile/dryer-vent-wizard-of-castle-rock-1754505203290x671062062407191900,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/dryer-vent-wizard-of-castle-rock-1754505203290x671062062407191900,,,,,,,,1754505203290x671062062407191900,,visit_website,,,,,,,,,,,,,,,,,,,,,,button_click
31556ca1-88da-4cf5-be78-3c9fa7b426d1,,,Home Services,2026-04-13 03:19:31.023000+00:00,ajs-next-1776050371023-fe783c9f-a7b4-46d1-bc77-5d4b001c63ba,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_4_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/147.0.7727.47 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,search
