name,userId,category,messageId,originalTimestamp,anonymousId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,business_id,category_properties,name_properties,sponsored_listing,traits,button_name,email,location,city,search_text,parish,input_value,input_num,input_name,address,other_category,description,display_email,business_name,main_category,phone,sub_category,website,event_type
business_profile,,profile,ajs-next-1763423520000-0f092f53-f563-4c04-9e40-64aa4deaeea5,2025-11-17 23:52:00+00:00,092f53f5-63cc-449e-8064-aa4deaeea57f,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/business_profile/kimberly-austin-realtor---exp-realty--1747864432460x772931238395911000,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/kimberly-austin-realtor---exp-realty--1747864432460x772931238395911000,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'HeadlessChrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,Windows,/business_profile/kimberly-austin-realtor---exp-realty--1747864432460x772931238395911000,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/kimberly-austin-realtor---exp-realty--1747864432460x772931238395911000,1747864432460x772931238395911000,profile,business_profile,,,,,,,,,,,,,,,,,,,,,page
about_us,,about_us,ajs-next-1763423555803-28f18363-f979-4585-a53d-47835de08533,2025-11-17 23:52:35.802000+00:00,f18363f9-7955-4525-bd47-835de0853369,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/fidelis-catholic-credit-union-1753982403438x535213824960417500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/fidelis-catholic-credit-union-1753982403438x535213824960417500,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'HeadlessChrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,Windows,/about_us/fidelis-catholic-credit-union-1753982403438x535213824960417500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/fidelis-catholic-credit-union-1753982403438x535213824960417500,,about_us,about_us,,,,,,,,,,,,,,,,,,,,,page
terms_of_service,,terms,ajs-next-1763424272328-bc7158b6-9f27-4d07-9b70-1ac181528bbc,2025-11-18 00:04:32.328000+00:00,7158b69f-27fd-475b-b01a-c181528bbce3,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/terms_of_service/studio-fratesco-1746843461447x686795565273950000,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/terms_of_service/studio-fratesco-1746843461447x686795565273950000,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'HeadlessChrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,Windows,/terms_of_service/studio-fratesco-1746843461447x686795565273950000,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/terms_of_service/studio-fratesco-1746843461447x686795565273950000,,terms,terms_of_service,,,,,,,,,,,,,,,,,,,,,page
terms_of_service,,terms,ajs-next-1763424529620-5b92f457-900d-4e6b-a01f-e764bc02185f,2025-11-18 00:08:49.620000+00:00,92f45790-0d1e-4be0-9fe7-64bc02185f12,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/terms_of_service/cindy-webb-novella-real-estate--1752182630575x854371423894944000,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/terms_of_service/cindy-webb-novella-real-estate--1752182630575x854371423894944000,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'HeadlessChrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,Windows,/terms_of_service/cindy-webb-novella-real-estate--1752182630575x854371423894944000,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/terms_of_service/cindy-webb-novella-real-estate--1752182630575x854371423894944000,,terms,terms_of_service,,,,,,,,,,,,,,,,,,,,,page
about_us,,about_us,ajs-next-1763424480831-0f809abf-c3a5-4e9c-86fe-de288c5cee16,2025-11-18 00:08:00.831000+00:00,809abfc3-a50e-4c86-bede-288c5cee163a,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/senior-helpers-littleton-1747420152884x437771544876149700,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/senior-helpers-littleton-1747420152884x437771544876149700,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'HeadlessChrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,Windows,/about_us/senior-helpers-littleton-1747420152884x437771544876149700,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/senior-helpers-littleton-1747420152884x437771544876149700,,about_us,about_us,,,,,,,,,,,,,,,,,,,,,page
terms_of_service,,terms,ajs-next-1763424483052-87328e6f-d384-468d-980d-e12b03b0a8be,2025-11-18 00:08:03.052000+00:00,328e6fd3-84a6-4dd8-8de1-2b03b0a8be36,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/terms_of_service/solera-national-bank--1746635677548x343522492232585660,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/terms_of_service/solera-national-bank--1746635677548x343522492232585660,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'HeadlessChrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,Windows,/terms_of_service/solera-national-bank--1746635677548x343522492232585660,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/terms_of_service/solera-national-bank--1746635677548x343522492232585660,,terms,terms_of_service,,,,,,,,,,,,,,,,,,,,,page
index,1746765568691x979794717919274100,index,ajs-next-1763443916130-f170a44a-13fc-4626-874c-3a378cf49db3,2025-11-18 05:31:56.130000+00:00,92cc5d0c-80dc-41f1-b93d-46d5647265e9,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",/,https://coloradocatholicbusinessdirectory.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,Windows,/,https://coloradocatholicbusinessdirectory.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,index,index,,,,,,,,,,,,,,,,,,,,,page
,1746765568691x979794717919274100,,ajs-next-1763443916588-a44a13fc-3626-474c-ba37-8cf49db3ef5c,2025-11-18 05:31:56.588000+00:00,92cc5d0c-80dc-41f1-b93d-46d5647265e9,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",/,https://coloradocatholicbusinessdirectory.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,Windows,,,,,,"1758312173588x895819358343598700, 1744579851707x640487742075829500, 1750436264420x989591292213482400, 1743549178851x847080663521240200, 1743547621069x279645472884266780, 1753982403438x535213824960417500, 1744335958024x226211831616957250, 1752717497153x537286585580736960, 1753374338412x209529915103450200",,,true,,,,,,,,,,,,,,,,,,,,impression
,1746765568691x979794717919274100,,ajs-next-1763443931488-a4c80f75-ecfa-4ce9-a0cf-6cac9ca42b0a,2025-11-18 05:32:11.488000+00:00,92cc5d0c-80dc-41f1-b93d-46d5647265e9,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",/how_it_works/skyhawks-supertots-sports-colorado,https://coloradocatholicbusinessdirectory.com/,,Skyhawks-SuperTots Sports Colorado | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/skyhawks-supertots-sports-colorado,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,Windows,,,,,,,,,,"{'business_id': '1746765568691x979794717919274100', 'email': 'colorado@skyhawks.com', 'is_logged_in': True}",,,,,,,,,,,,,,,,,,,identify
,1746765568691x979794717919274100,,ajs-next-1763443927356-fac51654-9645-44b7-b591-445510adfa22,2025-11-18 05:32:07.356000+00:00,92cc5d0c-80dc-41f1-b93d-46d5647265e9,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,Windows,,,,,,,,,,"{'business_id': '1746765568691x979794717919274100', 'email': 'colorado@skyhawks.com', 'is_logged_in': True}",,,,,,,,,,,,,,,,,,,identify
