anonymousId,name,originalTimestamp,category,messageId,userId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,business_id,category_properties,name_properties,button_name,email,input_value,input_num,input_name,traits,location,sponsored_listing,search_text,address,other_category,city,description,display_email,business_name,main_category,parish,phone,sub_category,website,event_type
1276024e-26ac-4405-a520-7ca171a5d1c8,dashboard,2025-10-31 14:12:30.845000+00:00,dashboard,ajs-next-1761919950845-f224eff3-bfdf-4005-999d-1ce8ba7c6de8,1761919898226x928695665795906700,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0",/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,"[{'brand': 'Microsoft Edge', 'version': '141'}, {'brand': 'Not?A_Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '141'}]",False,Windows,/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,1761919898226x928695665795906700,dashboard,dashboard,,,,,,,,,,,,,,,,,,,,,page
1276024e-26ac-4405-a520-7ca171a5d1c8,,2025-10-31 14:12:27.707000+00:00,,ajs-next-1761919947708-7ca171a5-d1c8-49d8-bac3-bc25430add14,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0",/start,,?login=yes,Login,https://coloradocatholicbusinessdirectory.com/start?login=yes,"[{'brand': 'Microsoft Edge', 'version': '141'}, {'brand': 'Not?A_Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '141'}]",False,Windows,,,,,,,,,sign_up,jag.todah@gmail.com,,,,,,,,,,,,,,,,,,,button_click
1276024e-26ac-4405-a520-7ca171a5d1c8,,2025-10-31 14:13:53.442000+00:00,,ajs-next-1761920033442-1ce8ba7c-6de8-47e0-83ec-c2fa2a791b4f,1761919898226x928695665795906700,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0",/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,"[{'brand': 'Microsoft Edge', 'version': '141'}, {'brand': 'Not?A_Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '141'}]",False,Windows,,,,,,1761919898226x928695665795906700,,,,,Philanthropic Advisory,9,sub_category,,,,,,,,,,,,,,,,input_changed
1276024e-26ac-4405-a520-7ca171a5d1c8,start,2025-10-31 14:12:04.937000+00:00,start,ajs-next-1761919924937-26acf405-a520-4ca1-b1a5-d1c879d83ac3,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0",/start,,?login=yes,Login,https://coloradocatholicbusinessdirectory.com/start?login=yes,"[{'brand': 'Microsoft Edge', 'version': '141'}, {'brand': 'Not?A_Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '141'}]",False,Windows,/start,,?login=yes,Login,https://coloradocatholicbusinessdirectory.com/start?login=yes,,start,start,,,,,,,,,,,,,,,,,,,,,page
1276024e-26ac-4405-a520-7ca171a5d1c8,business_profile,2025-10-31 14:16:55.206000+00:00,profile,ajs-next-1761920215206-63fcae18-7dd9-470d-a0a9-12636215b85f,1761919898226x928695665795906700,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0",/business_profile/roof-technologies-llc-1744579851707x640487742075829500,https://coloradocatholicbusinessdirectory.com/,,todah philanthropic services | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/roof-technologies-llc-1744579851707x640487742075829500,"[{'brand': 'Microsoft Edge', 'version': '141'}, {'brand': 'Not?A_Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '141'}]",False,Windows,/business_profile/roof-technologies-llc-1744579851707x640487742075829500,https://coloradocatholicbusinessdirectory.com/,,todah philanthropic services | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/roof-technologies-llc-1744579851707x640487742075829500,1744579851707x640487742075829500,profile,business_profile,,,,,,,,,,,,,,,,,,,,,page
1276024e-26ac-4405-a520-7ca171a5d1c8,,2025-10-31 14:17:34.187000+00:00,,ajs-next-1761920254187-c32fe951-a490-4bd7-8273-927804f1ca56,1761919898226x928695665795906700,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0",/business_profile/portam-interiors-1753911193017x504194995643152640,https://coloradocatholicbusinessdirectory.com/,,todah philanthropic services | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/portam-interiors-1753911193017x504194995643152640,"[{'brand': 'Microsoft Edge', 'version': '141'}, {'brand': 'Not?A_Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '141'}]",False,Windows,,,,,,,,,,,,,,"{'business_id': '1761919898226x928695665795906700', 'email': 'jag.todah@gmail.com', 'is_logged_in': True}",,,,,,,,,,,,,,,identify
1276024e-26ac-4405-a520-7ca171a5d1c8,,2025-10-31 14:14:03.498000+00:00,,ajs-next-1761920043498-6de8e7e0-83ec-42fa-aa79-1b4f6a03d9b9,1761919898226x928695665795906700,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0",/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,"[{'brand': 'Microsoft Edge', 'version': '141'}, {'brand': 'Not?A_Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '141'}]",False,Windows,,,,,,1761919898226x928695665795906700,,,faith,,,,,,,,,,,,,,,,,,,,button_click
1276024e-26ac-4405-a520-7ca171a5d1c8,,2025-10-31 14:17:13.172000+00:00,,ajs-next-1761920233172-b5382861-4866-4ed2-8de0-49d034b9dab1,1761919898226x928695665795906700,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,"[{'brand': 'Microsoft Edge', 'version': '141'}, {'brand': 'Not?A_Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '141'}]",False,Windows,,,,,,1744579851707x640487742075829500,,,,,,,,,main_list,true,,,,,,,,,,,,,impression
1276024e-26ac-4405-a520-7ca171a5d1c8,,2025-10-31 14:15:15.709000+00:00,,ajs-next-1761920115709-6022961e-dad7-487a-8c4c-4adfcc269de6,1761919898226x928695665795906700,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Microsoft Edge', 'version': '141'}, {'brand': 'Not?A_Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '141'}]",False,Windows,,,,,,"1752717497153x537286585580736960, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1744335958024x226211831616957250, 1744579851707x640487742075829500, 1753982403438x535213824960417500, 1743549178851x847080663521240200",,,,,,,,,,true,,,,,,,,,,,,,impression
1276024e-26ac-4405-a520-7ca171a5d1c8,,2025-10-31 14:12:04.618000+00:00,,ajs-next-1761919924618-024e26ac-f405-4520-bca1-71a5d1c879d8,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Microsoft Edge', 'version': '141'}, {'brand': 'Not?A_Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '141'}]",False,Windows,,,,,,,,,login,,,,,,navbar,,,,,,,,,,,,,,button_click
