anonymousId,userId,originalTimestamp,messageId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,business_id,sponsored_listing,category,name,path,referrer,search,title,url,category_properties,name_properties,location,city,search_text,parish,button_name,event_type
63915fb6-9484-4b1e-a935-db20e53c1f42,,2026-07-19 02:14:28.263000+00:00,ajs-next-1784427268263-5fb69484-4b1e-4935-9b20-e53c1f42c93b,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.6422.142 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chrome', 'version': '125'}, {'brand': 'Chromium', 'version': '125'}, {'brand': 'Not.A/Brand', 'version': '24'}]",False,Linux,"1744335958024x226211831616957250, 1752717497153x537286585580736960, 1770943484557x164806709481949200, 1750436264420x989591292213482400, 1753982403438x535213824960417500, 1781830336957x808577548450478500, 1744579851707x640487742075829500, 1771436045389x658317953644361100, 1744643921578x315333816253624100, 1753374338412x209529915103450200",true,,,,,,,,,,,,,,,impression
63915fb6-9484-4b1e-a935-db20e53c1f42,,2026-07-19 02:14:28.072000+00:00,ajs-next-1784427268072-0363915f-b694-444b-9ea9-35db20e53c1f,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.6422.142 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chrome', 'version': '125'}, {'brand': 'Chromium', 'version': '125'}, {'brand': 'Not.A/Brand', 'version': '24'}]",False,Linux,,,index,index,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,page
63915fb6-9484-4b1e-a935-db20e53c1f42,,2026-07-19 02:14:28.546000+00:00,ajs-next-1784427268546-94844b1e-a935-4b20-a53c-1f42c93b26a9,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.6422.142 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chrome', 'version': '125'}, {'brand': 'Chromium', 'version': '125'}, {'brand': 'Not.A/Brand', 'version': '24'}]",False,Linux,"1744335958024x226211831616957250, 1752717497153x537286585580736960, 1770943484557x164806709481949200, 1750436264420x989591292213482400, 1753982403438x535213824960417500, 1781830336957x808577548450478500, 1744579851707x640487742075829500, 1771436045389x658317953644361100, 1744643921578x315333816253624100, 1753374338412x209529915103450200",true,,,,,,,,,,,,,,,impression
1b323a22-81d2-4063-a88c-3b320155681c,,2026-07-19 06:15:27.251000+00:00,ajs-next-1784441727251-c81b323a-2281-4210-a328-8c3b32015568,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.6422.60 Safari/537.36 Edge/12.246",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,[],False,,,,index,index,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,page
1b323a22-81d2-4063-a88c-3b320155681c,,2026-07-19 06:15:27.260000+00:00,ajs-next-1784441727260-3a2281d2-1063-488c-bb32-0155681cc912,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.6422.60 Safari/537.36 Edge/12.246",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,[],False,,"1750436264420x989591292213482400, 1744579851707x640487742075829500, 1753374338412x209529915103450200, 1770943484557x164806709481949200, 1771436045389x658317953644361100, 1781830336957x808577548450478500, 1744643921578x315333816253624100, 1753982403438x535213824960417500, 1744335958024x226211831616957250, 1752717497153x537286585580736960",true,,,,,,,,,,,,,,,impression
1b323a22-81d2-4063-a88c-3b320155681c,,2026-07-19 06:15:27.560000+00:00,ajs-next-1784441727560-81d21063-288c-4b32-8155-681cc9123278,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.6422.60 Safari/537.36 Edge/12.246",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,[],False,,"1750436264420x989591292213482400, 1744579851707x640487742075829500, 1753374338412x209529915103450200, 1770943484557x164806709481949200, 1771436045389x658317953644361100, 1781830336957x808577548450478500, 1744643921578x315333816253624100, 1753982403438x535213824960417500, 1744335958024x226211831616957250, 1752717497153x537286585580736960",true,,,,,,,,,,,,,,,impression
5f951ecd-9395-448a-9daf-d4358de021c1,,2026-07-19 06:23:58.259000+00:00,ajs-next-1784442238259-9395d48a-9daf-4435-8de0-21c1e4bc9fe2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,"1753982403438x535213824960417500, 1744643921578x315333816253624100, 1771436045389x658317953644361100, 1744579851707x640487742075829500, 1750436264420x989591292213482400, 1770943484557x164806709481949200, 1752717497153x537286585580736960, 1781830336957x808577548450478500, 1744335958024x226211831616957250, 1753374338412x209529915103450200",true,,,,,,,,,,,,,,,impression
5f951ecd-9395-448a-9daf-d4358de021c1,,2026-07-19 06:23:58.254000+00:00,ajs-next-1784442238254-1ecd9395-d48a-4daf-9435-8de021c1e4bc,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,"1753982403438x535213824960417500, 1744643921578x315333816253624100, 1771436045389x658317953644361100, 1744579851707x640487742075829500, 1750436264420x989591292213482400, 1770943484557x164806709481949200, 1752717497153x537286585580736960, 1781830336957x808577548450478500, 1744335958024x226211831616957250, 1753374338412x209529915103450200",true,,,,,,,,,,,,,,,impression
5f951ecd-9395-448a-9daf-d4358de021c1,,2026-07-19 06:23:57.791000+00:00,ajs-next-1784442237791-e35f951e-cd93-45d4-8a9d-afd4358de021,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,index,index,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,page
ac09b7e1-0d81-4ffb-9f8b-da22572b7a79,,2026-07-19 15:53:19.844000+00:00,ajs-next-1784476399844-853caaca-fff0-4ec4-ad16-f7ebc5d0a01c,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/search,,?query=insurance&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=insurance&category=Home%20Services,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",False,macOS,,true,,,,,,,,,,sidebar,,,,,impression
