anonymousId,userId,category,messageId,name,originalTimestamp,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,category_properties,name_properties,business_id,sponsored_listing,event_type
0767df05-b6cf-4d99-8859-e0f20b8517d3,,how_it_works,ajs-next-1782522919851-410767df-05b6-4fcd-9988-59e0f20b8517,how_it_works,2026-06-27 01:15:19.851000+00:00,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/low-cost-mortgage-loans-1778185404695x597979725335827200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/low-cost-mortgage-loans-1778185404695x597979725335827200,[],False,,/how_it_works/low-cost-mortgage-loans-1778185404695x597979725335827200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/low-cost-mortgage-loans-1778185404695x597979725335827200,how_it_works,how_it_works,,,page
6ce9a2bc-4b51-460a-99df-13b0c6599b33,,terms,ajs-next-1782529522700-676ce9a2-bc4b-41b6-8a19-df13b0c6599b,terms_of_service,2026-06-27 03:05:22.700000+00:00,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/terms_of_service/heartland-connect-1779207002005x542183775914824900,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/terms_of_service/heartland-connect-1779207002005x542183775914824900,[],False,,/terms_of_service/heartland-connect-1779207002005x542183775914824900,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/terms_of_service/heartland-connect-1779207002005x542183775914824900,terms,terms_of_service,,,page
d3d655d6-5725-4778-9180-bdd968512d62,,terms,ajs-next-1782531736709-d3d3d655-d657-4537-b891-80bdd968512d,terms_of_service,2026-06-27 03:42:16.709000+00:00,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/terms_of_service/heartland-connect-1779207002005x542183775914824900,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/terms_of_service/heartland-connect-1779207002005x542183775914824900,[],False,,/terms_of_service/heartland-connect-1779207002005x542183775914824900,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/terms_of_service/heartland-connect-1779207002005x542183775914824900,terms,terms_of_service,,,page
b7fc0f87-96b4-4841-8f0e-21424bfd96f4,,,ajs-next-1782556911169-96b46841-0f0e-4142-8bfd-96f4fdfe21a1,,2026-06-27 10:41:51.169000+00:00,"Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; spider-feedback@bytedance.com)",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,[],False,,,,,,,,,"1744335958024x226211831616957250, 1770943484557x164806709481949200, 1753982403438x535213824960417500, 1750436264420x989591292213482400, 1771436045389x658317953644361100, 1744579851707x640487742075829500, 1753374338412x209529915103450200, 1752717497153x537286585580736960, 1781830336957x808577548450478500",true,impression
b7f99c3d-8272-44d6-857c-20f74337f6c6,,index,ajs-next-1782556911815-b0b7f99c-3d82-42c4-9605-7c20f74337f6,index,2026-06-27 10:41:51.815000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,[],False,,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,page
b7fc0f87-96b4-4841-8f0e-21424bfd96f4,,index,ajs-next-1782556910050-d6b7fc0f-8796-4468-810f-0e21424bfd96,index,2026-06-27 10:41:50.050000+00:00,"Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; spider-feedback@bytedance.com)",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,[],False,,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,page
b7f99c3d-8272-44d6-857c-20f74337f6c6,,,ajs-next-1782556911818-9c3d8272-c4d6-457c-a0f7-4337f6c6f7d9,,2026-06-27 10:41:51.818000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,[],False,,,,,,,,,"1744579851707x640487742075829500, 1753982403438x535213824960417500, 1744335958024x226211831616957250, 1753374338412x209529915103450200, 1750436264420x989591292213482400, 1770943484557x164806709481949200, 1752717497153x537286585580736960, 1771436045389x658317953644361100, 1781830336957x808577548450478500",true,impression
b7f99c3d-8272-44d6-857c-20f74337f6c6,,,ajs-next-1782556913035-8272c4d6-057c-40f7-8337-f6c6f7d9998c,,2026-06-27 10:41:53.035000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,[],False,,,,,,,,,"1744579851707x640487742075829500, 1753982403438x535213824960417500, 1744335958024x226211831616957250, 1753374338412x209529915103450200, 1750436264420x989591292213482400, 1770943484557x164806709481949200, 1752717497153x537286585580736960, 1771436045389x658317953644361100, 1781830336957x808577548450478500",true,impression
b7fc0f87-96b4-4841-8f0e-21424bfd96f4,,,ajs-next-1782556910054-0f8796b4-6841-4f0e-a142-4bfd96f4fdfe,,2026-06-27 10:41:50.054000+00:00,"Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; spider-feedback@bytedance.com)",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,[],False,,,,,,,,,"1744335958024x226211831616957250, 1770943484557x164806709481949200, 1753982403438x535213824960417500, 1750436264420x989591292213482400, 1771436045389x658317953644361100, 1744579851707x640487742075829500, 1753374338412x209529915103450200, 1752717497153x537286585580736960, 1781830336957x808577548450478500",true,impression
356337eb-ebc6-4810-bc0a-178f7e9dd6cb,,,ajs-next-1782556911379-ebc63810-fc0a-478f-be9d-d6cbd3f2cabf,,2026-06-27 10:41:51.379000+00:00,"Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; spider-feedback@bytedance.com)",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,[],False,,,,,,,,,"1744579851707x640487742075829500, 1771436045389x658317953644361100, 1781830336957x808577548450478500, 1753982403438x535213824960417500, 1744335958024x226211831616957250, 1753374338412x209529915103450200, 1752717497153x537286585580736960, 1770943484557x164806709481949200, 1750436264420x989591292213482400",true,impression
