userId,anonymousId,messageId,originalTimestamp,name,category,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,business_id,sponsored_listing,path,referrer,search,title,url,category_properties,name_properties,location,button_name,search_text,city,parish,traits,input_num,input_name,input_value,address,other_category,description,display_email,business_name,main_category,phone,sub_category,website,email,event_type
,4cc0ea26-3a88-452e-8564-24d02217ebee,ajs-next-1763162618854-5d4cc0ea-263a-48d5-ae85-6424d02217eb,2025-11-14 23:23:38.854000+00:00,,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,"1743547621069x279645472884266780, 1744335958024x226211831616957250, 1752717497153x537286585580736960, 1744579851707x640487742075829500, 1758312173588x895819358343598700, 1753374338412x209529915103450200, 1750436264420x989591292213482400, 1753982403438x535213824960417500, 1743549178851x847080663521240200",true,,,,,,,,,,,,,,,,,,,,,,,,,,,impression
,4cc0ea26-3a88-452e-8564-24d02217ebee,ajs-next-1763162636147-9b191942-c7b0-4783-bfc7-0ff4b9103e24,2025-11-14 23:23:56.147000+00:00,search,search,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Other,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,,,/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Other,search,search,,,,,,,,,,,,,,,,,,,,page
,4cc0ea26-3a88-452e-8564-24d02217ebee,ajs-next-1763162637135-6783ffc7-0ff4-4910-be24-4a628eaedfab,2025-11-14 23:23:57.135000+00:00,,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Other,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,"1758147388607x898014240790697700, 1761044854709x307607562836745150, 1747170561218x640297169073643000, 1760118921086x941497076227920600, 1747163465846x476237095610093000, 1749068120323x412920063824988600, 1744260813114x505427712482621440, 1757720364741x595714121363069200, 1751744301621x758526182685981300, 1762364811793x796217509980630800, 1750784475796x702583457937545900, 1754941249648x796792188496967000, 1749580724532x760028975589297300, 1746548006831x128230088489826860, 1757355028996x505189727810192200, 1744743906400x631087870982087000, 1762889659042x996969350831174300, 1744319857648x144922844539837200, 1762271200864x775090106640580500, 1744737250347x219277345743008400, 1750423781412x480534435350699700, 1750436264420x989591292213482400, 1746843461447x686795565273950000, 1753985929691x853149258569598100, 1748389292320x918627677903932400, 1754949567759x639105313824555300, 1745533127765x291393362647413700, 1751402056748x637551618886434600, 1744736810207x919925185055488400, 1745597587022x519433479989605000, 1747221865162x703532834449508000, 1748581534531x956271769254002200, 1748365021326x105262688542451250, 1747184079669x994211808429350800, 1750783679107x801419812763124500, 1758120880051x675194275556497400, 1758568877707x715638242996164100, 1744282156200x727555159743162000, 1747165674437x491901038958021200, 1752687366861x422755081931784260, 1753465897836x101289632151690960, 1752182630575x854371423894944000, 1744907031541x119079844893356540, 1755271286521x378031808974615550, 1746467711533x453074785848415400",false,,,,,,,,,,,,,,,,,,,,,,,,,,,impression
,4cc0ea26-3a88-452e-8564-24d02217ebee,ajs-next-1763162618926-ea263a88-d52e-4564-a4d0-2217ebeeac09,2025-11-14 23:23:38.925000+00:00,index,index,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,,,/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,,,,,,,,,,,,,page
,4cc0ea26-3a88-452e-8564-24d02217ebee,ajs-next-1763163032596-cb6485aa-43d3-4790-9625-df050946dbda,2025-11-14 23:30:32.596000+00:00,,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Other,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,1750436264420x989591292213482400,true,,,,,,,,main_list,,,,,,,,,,,,,,,,,,,impression
,4cc0ea26-3a88-452e-8564-24d02217ebee,ajs-next-1763162872034-8651ae0a-e348-4b0d-be36-cbaeb942a899,2025-11-14 23:27:52.034000+00:00,,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Other,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,1750436264420x989591292213482400,true,,,,,,,,main_list,,,,,,,,,,,,,,,,,,,impression
,4cc0ea26-3a88-452e-8564-24d02217ebee,ajs-next-1763162636801-c7b06783-ffc7-4ff4-b910-3e244a628eae,2025-11-14 23:23:56.801000+00:00,,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Other,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,1750436264420x989591292213482400,true,,,,,,,,main_list,,,,,,,,,,,,,,,,,,,impression
,4cc0ea26-3a88-452e-8564-24d02217ebee,ajs-next-1763163013961-642735ae-f3e4-4ba9-829d-a2eb0c6707ed,2025-11-14 23:30:13.961000+00:00,,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/business_profile/little-law-office-llc-1750423781412x480534435350699700,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/little-law-office-llc-1750423781412x480534435350699700,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,1750423781412x480534435350699700,,,,,,,,,,visit_website,,,,,,,,,,,,,,,,,,button_click
,4cc0ea26-3a88-452e-8564-24d02217ebee,ajs-next-1763163030674-3460594d-09ab-4b64-85aa-43d387901625,2025-11-14 23:30:30.674000+00:00,search,search,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Other,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,,,/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Other,search,search,,,,,,,,,,,,,,,,,,,,page
,4cc0ea26-3a88-452e-8564-24d02217ebee,ajs-next-1763162630881-d52e8564-24d0-4217-abee-ac09cacdc376,2025-11-14 23:23:50.881000+00:00,,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,,,,,,,,,,,search,,,,,,,,,,,,,,,,,,button_click
