originalTimestamp,anonymousId,userId,category,messageId,name,userAgent,page.path,page.referrer,page.search,page.title,page.url,path,referrer,search,title,url,business_id,category_properties,name_properties,userAgentData.brands,userAgentData.mobile,userAgentData.platform,button_name,sponsored_listing,location,search_text,traits,email,input_value,input_num,input_name,address,other_category,city,description,display_email,business_name,main_category,parish,phone,sub_category,website,event_type
2026-07-27 02:36:21.991000+00:00,ec2fa0a4-f049-4937-84c2-7335362daf43,,profile,ajs-next-1785119781991-0aec2fa0-a4f0-49f9-b704-c27335362daf,business_profile,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5.2 Safari/605.1.15",/business_profile/alstone-exceptional-masonry-1762889659042x996969350831174300,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/alstone-exceptional-masonry-1762889659042x996969350831174300,/business_profile/alstone-exceptional-masonry-1762889659042x996969350831174300,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/alstone-exceptional-masonry-1762889659042x996969350831174300,1762889659042x996969350831174300,profile,business_profile,,,,,,,,,,,,,,,,,,,,,,,,page
2026-07-27 07:22:32.219000+00:00,d5b12fd9-eb42-455b-b4bd-349eb31a1c67,,start,ajs-next-1785136952219-386b800b-e780-4d09-8090-f62e760f0f21,start,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,,start,start,"[{'brand': 'Chromium', 'version': '149'}, {'brand': 'Not)A;Brand', 'version': '24'}]",False,Linux,,,,,,,,,,,,,,,,,,,,,page
2026-07-27 07:21:57.021000+00:00,d5b12fd9-eb42-455b-b4bd-349eb31a1c67,,profile,ajs-next-1785136917021-ec4f6fbc-11ae-4457-a3a6-471487ce8a34,business_profile,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/fidelis-catholic-credit-union-1753982403438x535213824960417500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/fidelis-catholic-credit-union-1753982403438x535213824960417500,/business_profile/fidelis-catholic-credit-union-1753982403438x535213824960417500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/fidelis-catholic-credit-union-1753982403438x535213824960417500,1753982403438x535213824960417500,profile,business_profile,"[{'brand': 'Chromium', 'version': '149'}, {'brand': 'Not)A;Brand', 'version': '24'}]",False,Linux,,,,,,,,,,,,,,,,,,,,,page
2026-07-27 07:21:51.941000+00:00,d5b12fd9-eb42-455b-b4bd-349eb31a1c67,,profile,ajs-next-1785136911941-55693801-eaf7-4a58-9922-01667aac3bcf,business_profile,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,1752717497153x537286585580736960,profile,business_profile,"[{'brand': 'Chromium', 'version': '149'}, {'brand': 'Not)A;Brand', 'version': '24'}]",False,Linux,,,,,,,,,,,,,,,,,,,,,page
2026-07-27 07:21:48.600000+00:00,d5b12fd9-eb42-455b-b4bd-349eb31a1c67,,profile,ajs-next-1785136908600-37d5b12f-d9eb-4275-9bb4-bd349eb31a1c,business_profile,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/roof-technologies-llc-1744579851707x640487742075829500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/roof-technologies-llc-1744579851707x640487742075829500,/business_profile/roof-technologies-llc-1744579851707x640487742075829500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/roof-technologies-llc-1744579851707x640487742075829500,1744579851707x640487742075829500,profile,business_profile,"[{'brand': 'Chromium', 'version': '149'}, {'brand': 'Not)A;Brand', 'version': '24'}]",False,Linux,,,,,,,,,,,,,,,,,,,,,page
2026-07-27 12:01:07.330000+00:00,5a99efa6-d60c-4e51-b99a-c3de130b15f1,,how_it_works,ajs-next-1785153667330-db5a99ef-a6d6-4c3e-9179-9ac3de130b15,how_it_works,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 (compatible; meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler))",/how_it_works/1784753665970x308845209727033100,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1784753665970x308845209727033100,/how_it_works/1784753665970x308845209727033100,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1784753665970x308845209727033100,,how_it_works,how_it_works,[],False,,,,,,,,,,,,,,,,,,,,,,page
2026-07-27 15:18:09.357000+00:00,5a2c6462-9684-41d6-a311-033b196f4fd0,,,ajs-next-1785165489357-31d6e311-033b-496f-8fd0-1f6bed8ebe44,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5.2 Safari/605.1.15",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,,search,,,,,,,,,,,,,,,,,,,,button_click
2026-07-27 15:17:45.053000+00:00,5a2c6462-9684-41d6-a311-033b196f4fd0,,,ajs-next-1785165465053-968431d6-e311-433b-996f-4fd01f6bed8e,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5.2 Safari/605.1.15",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,"1753982403438x535213824960417500, 1770943484557x164806709481949200, 1752717497153x537286585580736960, 1753374338412x209529915103450200, 1781830336957x808577548450478500, 1771436045389x658317953644361100, 1744643921578x315333816253624100, 1744579851707x640487742075829500, 1744335958024x226211831616957250, 1750436264420x989591292213482400",,,,,,,true,,,,,,,,,,,,,,,,,,,impression
2026-07-27 15:18:12.348000+00:00,5a2c6462-9684-41d6-a311-033b196f4fd0,,,ajs-next-1785165492348-e7b5b82d-2a83-4bff-a049-4c6154f967c3,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5.2 Safari/605.1.15",/search,https://coloradocatholicbusinessdirectory.com/,?query=welding&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=welding&category=Other,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,impression
2026-07-27 15:18:11.433000+00:00,5a2c6462-9684-41d6-a311-033b196f4fd0,,search,ajs-next-1785165491433-61613a22-8b04-47b5-b82d-2a836bffe049,search,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5.2 Safari/605.1.15",/search,https://coloradocatholicbusinessdirectory.com/,?query=welding&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=welding&category=Other,/search,https://coloradocatholicbusinessdirectory.com/,?query=welding&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=welding&category=Other,,search,search,,,,,,,,,,,,,,,,,,,,,,,,page
2026-07-27 15:18:11.738000+00:00,5a2c6462-9684-41d6-a311-033b196f4fd0,,,ajs-next-1785165491738-3a228b04-e7b5-482d-aa83-6bffe0494c61,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5.2 Safari/605.1.15",/search,https://coloradocatholicbusinessdirectory.com/,?query=welding&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=welding&category=Other,,,,,,,,,,,,,true,sidebar,,,,,,,,,,,,,,,,,,impression
2026-07-27 15:18:09.661000+00:00,5a2c6462-9684-41d6-a311-033b196f4fd0,,Other,ajs-next-1785165489661-e311033b-196f-4fd0-9f6b-ed8ebe449a34,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5.2 Safari/605.1.15",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,,,,,welding,,,,,,,,,,,,,,,,,search
