userId,category,messageId,originalTimestamp,name,anonymousId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,category_properties,name_properties,business_id,traits,sponsored_listing,event_type
,start,ajs-next-1771024633878-362a4b0d-3a17-4dad-bac9-1191134006b1,2026-02-13 23:17:13.878000+00:00,start,fe9813bc-010e-4bcd-a86d-384b017eb0b1,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,start,start,,,,page
,profile,ajs-next-1771024614741-7ec70eba-9ef4-4929-b864-d7854a1f83b9,2026-02-13 23:16:54.741000+00:00,business_profile,fe9813bc-010e-4bcd-a86d-384b017eb0b1,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/roof-technologies-llc-1744579851707x640487742075829500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/roof-technologies-llc-1744579851707x640487742075829500,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/roof-technologies-llc-1744579851707x640487742075829500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/roof-technologies-llc-1744579851707x640487742075829500,profile,business_profile,1744579851707x640487742075829500,,,page
,profile,ajs-next-1771031549287-5c007f9f-13cf-4b5d-b44f-d3dc5567dda0,2026-02-14 01:12:29.287000+00:00,business_profile,007f9f13-cffb-4df4-8fd3-dc5567dda035,"Mozilla/5.0 (Linux; Android 11; moto g power (2022)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36",/business_profile/house-of-carmel-religious-gifts--books-1748365021326x105262688542451250,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/house-of-carmel-religious-gifts--books-1748365021326x105262688542451250,"[{'brand': 'Chromium', 'version': '144'}, {'brand': 'Google Chrome', 'version': '144'}]",True,Android,/business_profile/house-of-carmel-religious-gifts--books-1748365021326x105262688542451250,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/house-of-carmel-religious-gifts--books-1748365021326x105262688542451250,profile,business_profile,1748365021326x105262688542451250,,,page
1771003581692x955050931630977700,,ajs-next-1771050098173-b1d3b106-57db-4563-a290-9e0d958d28af,2026-02-14 06:21:38.173000+00:00,,44d85668-eb23-4bdb-973e-de91cffc3e33,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",/,https://coloradocatholicbusinessdirectory.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,,"{'business_id': '1771003581692x955050931630977700', 'email': 'jim@solvidadevelopment.com', 'is_logged_in': True}",,identify
1771003581692x955050931630977700,index,ajs-next-1771050098174-b10657db-7563-4290-9e0d-958d28af915e,2026-02-14 06:21:38.174000+00:00,index,44d85668-eb23-4bdb-973e-de91cffc3e33,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",/,https://coloradocatholicbusinessdirectory.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,/,https://coloradocatholicbusinessdirectory.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,page
1771003581692x955050931630977700,,ajs-next-1771050098670-57db7563-6290-4e0d-958d-28af915ea918,2026-02-14 06:21:38.670000+00:00,,44d85668-eb23-4bdb-973e-de91cffc3e33,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",/,https://coloradocatholicbusinessdirectory.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,"1753374338412x209529915103450200, 1744579851707x640487742075829500, 1752717497153x537286585580736960, 1743549178851x847080663521240200, 1743547621069x279645472884266780, 1744335958024x226211831616957250, 1750436264420x989591292213482400, 1753982403438x535213824960417500, 1770943484557x164806709481949200",,true,impression
1771003581692x955050931630977700,,ajs-next-1771074821108-bb5fdab2-af71-4fcd-a30c-38d713e4cb53,2026-02-14 13:13:41.108000+00:00,,44d85668-eb23-4bdb-973e-de91cffc3e33,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",/business_profile/solvida-development-group,https://coloradocatholicbusinessdirectory.com/,,Solvida Development Group | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/solvida-development-group,,,,,,,,,,,,"{'business_id': '1771003581692x955050931630977700', 'email': 'jim@solvidadevelopment.com', 'is_logged_in': True}",,identify
1771003581692x955050931630977700,profile,ajs-next-1771074821109-dab2af71-6fcd-430c-b8d7-13e4cb53ddb1,2026-02-14 13:13:41.109000+00:00,business_profile,44d85668-eb23-4bdb-973e-de91cffc3e33,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",/business_profile/solvida-development-group,https://coloradocatholicbusinessdirectory.com/,,Solvida Development Group | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/solvida-development-group,,,,/business_profile/solvida-development-group,https://coloradocatholicbusinessdirectory.com/,,Solvida Development Group | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/solvida-development-group,profile,business_profile,1771003581692x955050931630977700,,,page
1771003581692x955050931630977700,,ajs-next-1771074814909-7628ae7e-4190-4329-9c71-505f41e5cc7d,2026-02-14 13:13:34.909000+00:00,,44d85668-eb23-4bdb-973e-de91cffc3e33,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",/,https://coloradocatholicbusinessdirectory.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,"1743547621069x279645472884266780, 1744579851707x640487742075829500, 1743549178851x847080663521240200, 1752717497153x537286585580736960, 1770943484557x164806709481949200, 1753374338412x209529915103450200, 1753982403438x535213824960417500, 1744335958024x226211831616957250, 1750436264420x989591292213482400",,true,impression
1771003581692x955050931630977700,,ajs-next-1771074814453-d9fa7ed6-7628-4e7e-8190-8329dc71505f,2026-02-14 13:13:34.453000+00:00,,44d85668-eb23-4bdb-973e-de91cffc3e33,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",/,https://coloradocatholicbusinessdirectory.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,,"{'business_id': '1771003581692x955050931630977700', 'email': 'jim@solvidadevelopment.com', 'is_logged_in': True}",,identify
