originalTimestamp,messageId,userId,anonymousId,userAgent,page.path,page.referrer,page.search,page.title,page.url,button_name,search_text,category,name,path,referrer,search,title,url,category_properties,name_properties,business_id,sponsored_listing,location,userAgentData.brands,userAgentData.mobile,userAgentData.platform,event_type
2026-06-28 14:43:51.421000+00:00,ajs-next-1782657831421-b05ce39c-b67f-4d32-b0af-cbacf7804c9e,,e7ba100c-b5a7-405c-a39c-b67f8d32b0af,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/419.4.905781065 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,search,,,,,,,,,,,,,,,,,button_click
2026-06-28 14:43:51.727000+00:00,ajs-next-1782657831727-e39cb67f-8d32-40af-8bac-f7804c9e7e99,,e7ba100c-b5a7-405c-a39c-b67f8d32b0af,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/419.4.905781065 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,Other,,,,,,,,,,,,,,,search
2026-06-28 14:43:31.069000+00:00,ajs-next-1782657811069-f9e7ba10-0cb5-47b0-9ce3-9cb67f8d32b0,,e7ba100c-b5a7-405c-a39c-b67f8d32b0af,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/419.4.905781065 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,index,index,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,page
2026-06-28 14:43:31.282000+00:00,ajs-next-1782657811282-100cb5a7-b05c-439c-b67f-8d32b0afcbac,,e7ba100c-b5a7-405c-a39c-b67f8d32b0af,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/419.4.905781065 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,,"1744579851707x640487742075829500, 1752717497153x537286585580736960, 1744335958024x226211831616957250, 1750436264420x989591292213482400, 1753982403438x535213824960417500, 1781830336957x808577548450478500, 1770943484557x164806709481949200, 1771436045389x658317953644361100, 1753374338412x209529915103450200",true,,,,,impression
2026-06-28 14:43:53.744000+00:00,ajs-next-1782657833744-3bf48e73-2061-4aa7-a8b0-40d586d0f6f5,,e7ba100c-b5a7-405c-a39c-b67f8d32b0af,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/419.4.905781065 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Other,,,,,,,,,,,,,true,sidebar,,,,impression
2026-06-28 14:45:14.118000+00:00,ajs-next-1782657914118-baa7e8b0-40d5-46d0-b6f5-b4bdc2074ba0,,e7ba100c-b5a7-405c-a39c-b67f8d32b0af,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/419.4.905781065 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Other,more_info_text,,,,,,,,,,,1781791909727x427924501831676600,false,,,,,button_click
2026-06-28 14:45:15.318000+00:00,ajs-next-1782657915318-34c79e7a-0f6a-4e94-99a2-104d65f9b35f,,e7ba100c-b5a7-405c-a39c-b67f8d32b0af,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/419.4.905781065 Mobile/15E148 Safari/604.1",/business_profile/portraits-by-antonette-1781791909727x427924501831676600,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/portraits-by-antonette-1781791909727x427924501831676600,,,profile,business_profile,/business_profile/portraits-by-antonette-1781791909727x427924501831676600,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/portraits-by-antonette-1781791909727x427924501831676600,profile,business_profile,1781791909727x427924501831676600,,,,,,page
2026-06-28 14:45:19.734000+00:00,ajs-next-1782657919734-9e7a0f6a-3e94-49a2-904d-65f9b35f5c44,,e7ba100c-b5a7-405c-a39c-b67f8d32b0af,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/419.4.905781065 Mobile/15E148 Safari/604.1",/business_profile/portraits-by-antonette-1781791909727x427924501831676600,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/portraits-by-antonette-1781791909727x427924501831676600,visit_website,,,,,,,,,,,1781791909727x427924501831676600,,,,,,button_click
2026-06-28 14:43:54.047000+00:00,ajs-next-1782657834047-8e732061-baa7-48b0-80d5-86d0f6f5b4bd,,e7ba100c-b5a7-405c-a39c-b67f8d32b0af,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/419.4.905781065 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Other,,,,,,,,,,,,1781830336957x808577548450478500,true,main_list,,,,impression
2026-06-28 14:43:53.442000+00:00,ajs-next-1782657833442-deb03bf4-8e73-4061-baa7-e8b040d586d0,,e7ba100c-b5a7-405c-a39c-b67f8d32b0af,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/419.4.905781065 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Other,,,search,search,/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Other,search,search,,,,,,,page
